id	keyword	occurrences	total link strength
193	adaptation	11	63
228	adoption	18	105
303	air	20	103
363	air-conditioning system	12	84
372	air-quality	12	63
395	airtightness	10	43
401	algorithm	38	223
403	algorithms	13	104
467	ammonia	28	79
602	architectural design	10	59
610	architecture	23	118
631	artificial intelligence	13	74
651	assessment lca	16	129
692	australia	16	85
745	balance	16	128
770	barriers	57	396
781	batteries	19	105
782	battery	28	188
802	battery storage	22	167
828	behavior	69	392
858	benefits	24	151
885	bibliometric analysis	18	129
902	bim	25	166
977	biomass	32	146
1003	bipv	56	340
1127	building	38	252
1168	building design	16	116
1182	building energy	33	196
1197	building energy consumption	17	105
1200	building energy efficiency	31	158
1222	building energy performance	14	74
1237	building energy simulation	27	174
1250	building envelope	62	440
1282	building information modeling	11	69
1301	building integrated photovoltaics	23	139
1302	building integrated photovoltaics (bipv)	10	63
1330	building materials	11	67
1345	building performance	23	140
1354	building performance simulation	17	104
1373	building renovation	18	102
1376	building retrofit	13	105
1379	building retrofitting	10	86
1382	building sector	10	77
1391	building simulation	35	206
1400	building stock	21	124
1436	building-integrated photovoltaic	10	62
1444	building-integrated photovoltaics	16	69
1451	building-materials	14	81
1459	buildings	411	2541
1471	built environment	28	188
1522	calibration	14	84
1543	capacity	11	51
1563	carbon	54	324
1596	carbon emission	36	246
1601	carbon emissions	56	380
1605	carbon footprint	29	185
1636	carbon neutrality	47	208
1651	carbon reduction	11	75
1723	case study	16	109
1730	catalysts	12	29
1779	cement	11	37
1802	cfd	13	74
1815	challenges	61	467
1873	china	54	326
1903	circular economy	26	132
1911	cities	23	139
1916	city	33	191
1928	classification	10	57
1948	climate	105	784
1959	climate change	132	711
1965	climate change mitigation	17	84
2009	climate-change	76	513
2071	co2	18	92
2080	co2 emissions	61	360
2089	co2 reduction	12	58
2134	cogeneration	10	58
2169	collector	22	117
2171	collectors	15	74
2212	combustion	22	89
2220	comfort	96	653
2238	commercial buildings	26	187
2251	community	12	70
2304	composite	16	78
2312	composites	20	69
2332	computational fluid dynamics	15	94
2364	concrete	21	120
2384	conductivity	12	49
2401	conservation	22	145
2420	construction	105	758
2431	construction industry	13	71
2458	consumption	334	2389
2488	control strategies	15	131
2504	conversion	17	85
2527	cooling	11	74
2555	cooling system	23	174
2556	cooling systems	21	152
2603	cost	135	1022
2626	cost optimality	12	86
2639	cost-effectiveness	16	119
2645	cost-optimal	16	118
2646	cost-optimal analysis	30	251
2652	cost-optimal methodology	11	101
2656	cost-optimality	16	112
2658	costs	16	123
2765	cycle	12	69
2828	daylight	11	71
2865	decarbonisation	28	175
2873	decarbonization	51	289
2906	decision-making	32	273
2932	deep learning	12	72
2947	definition	10	62
2954	degradation	10	68
2958	dehumidification	10	67
2966	demand	115	882
2975	demand response	66	448
2980	demand side management	10	75
2987	demand-side management	31	229
3005	density	10	65
3029	desalination	12	73
3045	design	621	4172
3068	design optimization	41	296
3114	device	10	31
3115	devices	13	66
3155	diffusion	13	81
3249	distributed energy resources	14	82
3254	distributed generation	22	151
3286	district	17	145
